ID,INITIAL,GOAL,BEBAN MUATAN (TON),REWARD,JENIS
122,Kabupaten Situbondo,Kabupaten Sidoarjo,25,1350000,PADAT
123,Kabupaten Situbondo,Kabupaten Sidoarjo,30,1525000,CAIR
124,Kabupaten Situbondo,Kota Mojokerto,15,1120000,GAS
125,Kabupaten Situbondo,Kota Mojokerto,25,1470000,PADAT
126,Kabupaten Situbondo,Kota Mojokerto,30,1645000,CAIR
127,Kabupaten Situbondo,Kabupaten Jombang,15,1190000,GAS
128,Kabupaten Situbondo,Kabupaten Jombang,25,1540000,PADAT
129,Kabupaten Situbondo,Kabupaten Jombang,30,1715000,CAIR
130,Kabupaten Situbondo,Kabupaten Nganjuk,15,1275000,GAS
131,Kabupaten Situbondo,Kabupaten Nganjuk,25,1625000,PADAT
132,Kabupaten Situbondo,Kabupaten Nganjuk,30,1800000,CAIR
133,Kabupaten Situbondo,Kota Madiun,15,1400000,GAS
134,Kabupaten Situbondo,Kota Madiun,25,1750000,PADAT
135,Kabupaten Situbondo,Kota Madiun,30,1925000,CAIR
136,Kabupaten Situbondo,Kabupaten Magetan,15,1460000,GAS
137,Kabupaten Situbondo,Kabupaten Magetan,25,1810000,PADAT
138,Kabupaten Situbondo,Kabupaten Magetan,30,1985000,CAIR
139,Kabupaten Situbondo,Kabupaten Ngawi,15,1450000,GAS
140,Kabupaten Situbondo,Kabupaten Ngawi,25,1800000,PADAT
141,Kabupaten Situbondo,Kabupaten Ngawi,30,1975000,CAIR
142,Kabupaten Situbondo,Kabupaten Bojonegoro,15,1425000,GAS
143,Kabupaten Situbondo,Kabupaten Bojonegoro,25,1775000,PADAT
144,Kabupaten Situbondo,Kabupaten Bojonegoro,30,1950000,CAIR
145,Kabupaten Situbondo,Kabupaten Tuban,15,1287500,GAS
146,Kabupaten Situbondo,Kabupaten Tuban,25,1637500,PADAT
147,Kabupaten Situbondo,Kabupaten Tuban,30,1812500,CAIR
148,Kabupaten Situbondo,Kabupaten Lamongan,15,1152500,GAS
149,Kabupaten Situbondo,Kabupaten Lamongan,25,1502500,PADAT
150,Kabupaten Situbondo,Kabupaten Lamongan,30,1677500,CAIR
151,Kabupaten Situbondo,Kabupaten Gresik,15,1090000,GAS
152,Kabupaten Situbondo,Kabupaten Gresik,25,1440000,PADAT
153,Kabupaten Situbondo,Kabupaten Gresik,30,1615000,CAIR
154,Kabupaten Situbondo,Kabupaten Bangkalan,15,1142500,GAS
155,Kabupaten Situbondo,Kabupaten Bangkalan,25,1492500,PADAT
156,Kabupaten Situbondo,Kabupaten Bangkalan,30,1667500,CAIR
157,Kabupaten Situbondo,Kabupaten Sampang,15,1267500,GAS
158,Kabupaten Situbondo,Kabupaten Sampang,25,1617500,PADAT
159,Kabupaten Situbondo,Kabupaten Sampang,30,1792500,CAIR
160,Kabupaten Situbondo,Kabupaten Pamekasan,15,1345000,GAS
161,Kabupaten Situbondo,Kabupaten Pamekasan,25,1695000,PADAT
162,Kabupaten Situbondo,Kabupaten Pamekasan,30,1870000,CAIR
163,Kabupaten Situbondo,Kabupaten Sumenep,15,1477500,GAS
164,Kabupaten Situbondo,Kabupaten Sumenep,25,1827500,PADAT
165,Kabupaten Situbondo,Kabupaten Sumenep,30,2002500,CAIR
166,Kabupaten Situbondo,Kota Surabaya,15,1052500,GAS
167,Kabupaten Situbondo,Kota Surabaya,25,1402500,PADAT
168,Kabupaten Situbondo,Kota Surabaya,30,1577500,CAIR
169,Kabupaten Situbondo,Kota Blitar,15,1262500,GAS
170,Kabupaten Situbondo,Kota Blitar,25,1612500,PADAT
171,Kabupaten Situbondo,Kota Blitar,30,1787500,CAIR
172,Kabupaten Situbondo,Kota Malang,15,1072500,GAS
173,Kabupaten Situbondo,Kota Malang,25,1422500,PADAT
174,Kabupaten Situbondo,Kota Malang,30,1597500,CAIR
175,Kota Probolinggo,Kabupaten Pacitan,15,1572500,GAS
176,Kota Probolinggo,Kabupaten Pacitan,25,1922500,PADAT
177,Kota Probolinggo,Kabupaten Pacitan,30,2097500,CAIR
178,Kota Probolinggo,Kabupaten Ponorogo,15,1220000,GAS
179,Kota Probolinggo,Kabupaten Ponorogo,25,1570000,PADAT
180,Kota Probolinggo,Kabupaten Ponorogo,30,1745000,CAIR
181,Kota Probolinggo,Kabupaten Trenggalek,15,1180000,GAS
182,Kota Probolinggo,Kabupaten Trenggalek,25,1530000,PADAT
183,Kota Probolinggo,Kabupaten Trenggalek,30,1705000,CAIR
184,Kota Probolinggo,Kabupaten Tulungagung,15,1107500,GAS
185,Kota Probolinggo,Kabupaten Tulungagung,25,1457500,PADAT
186,Kota Probolinggo,Kabupaten Tulungagung,30,1632500,CAIR
187,Kota Probolinggo,Kabupaten Kediri,15,1032500,GAS
188,Kota Probolinggo,Kabupaten Kediri,25,1382500,PADAT
189,Kota Probolinggo,Kabupaten Kediri,30,1557500,CAIR
190,Kota Probolinggo,Kabupaten Lumajang,15,645000,GAS
191,Kota Probolinggo,Kabupaten Lumajang,25,995000,PADAT
192,Kota Probolinggo,Kabupaten Lumajang,30,1170000,CAIR
193,Kota Probolinggo,Kabupaten Jember,15,770000,GAS
194,Kota Probolinggo,Kabupaten Jember,25,1120000,PADAT
195,Kota Probolinggo,Kabupaten Jember,30,1295000,CAIR
196,Kota Probolinggo,Kabupaten Banyuwangi,15,1002500,GAS
197,Kota Probolinggo,Kabupaten Banyuwangi,25,1352500,PADAT
198,Kota Probolinggo,Kabupaten Banyuwangi,30,1527500,CAIR
199,Kota Probolinggo,Kabupaten Bondowoso,15,760000,GAS
200,Kota Probolinggo,Kabupaten Bondowoso,25,1110000,PADAT
201,Kota Probolinggo,Kabupaten Bondowoso,30,1285000,CAIR
202,Kota Probolinggo,Kabupaten Situbondo,15,770000,GAS
203,Kota Probolinggo,Kabupaten Situbondo,25,1120000,PADAT
204,Kota Probolinggo,Kabupaten Situbondo,30,1295000,CAIR
205,Kota Probolinggo,Kota Pasuruan,15,652500,GAS
206,Kota Probolinggo,Kota Pasuruan,25,1002500,PADAT
207,Kota Probolinggo,Kota Pasuruan,30,1177500,CAIR
208,Kota Probolinggo,Kabupaten Sidoarjo,15,747500,GAS
209,Kota Probolinggo,Kabupaten Sidoarjo,25,1097500,PADAT
210,Kota Probolinggo,Kabupaten Sidoarjo,30,1272500,CAIR
211,Kota Probolinggo,Kota Mojokerto,15,865000,GAS
212,Kota Probolinggo,Kota Mojokerto,25,1215000,PADAT
213,Kota Probolinggo,Kota Mojokerto,30,1390000,CAIR
214,Kota Probolinggo,Kabupaten Jombang,15,935000,GAS
215,Kota Probolinggo,Kabupaten Jombang,25,1285000,PADAT
216,Kota Probolinggo,Kabupaten Jombang,30,1460000,CAIR
217,Kota Probolinggo,Kabupaten Nganjuk,15,1022500,GAS
218,Kota Probolinggo,Kabupaten Nganjuk,25,1372500,PADAT
219,Kota Probolinggo,Kabupaten Nganjuk,30,1547500,CAIR
220,Kota Probolinggo,Kota Madiun,15,1147500,GAS
221,Kota Probolinggo,Kota Madiun,25,1497500,PADAT
222,Kota Probolinggo,Kota Madiun,30,1672500,CAIR
223,Kota Probolinggo,Kabupaten Magetan,15,1207500,GAS
224,Kota Probolinggo,Kabupaten Magetan,25,1557500,PADAT
225,Kota Probolinggo,Kabupaten Magetan,30,1732500,CAIR
226,Kota Probolinggo,Kabupaten Ngawi,15,1195000,GAS
227,Kota Probolinggo,Kabupaten Ngawi,25,1545000,PADAT
228,Kota Probolinggo,Kabupaten Ngawi,30,1720000,CAIR
229,Kota Probolinggo,Kabupaten Bojonegoro,15,1170000,GAS
230,Kota Probolinggo,Kabupaten Bojonegoro,25,1520000,PADAT
231,Kota Probolinggo,Kabupaten Bojonegoro,30,1695000,CAIR
232,Kota Probolinggo,Kabupaten Tuban,15,1032500,GAS
233,Kota Probolinggo,Kabupaten Tuban,25,1382500,PADAT
234,Kota Probolinggo,Kabupaten Tuban,30,1557500,CAIR
235,Kota Probolinggo,Kabupaten Lamongan,15,900000,GAS
236,Kota Probolinggo,Kabupaten Lamongan,25,1250000,PADAT
237,Kota Probolinggo,Kabupaten Lamongan,30,1425000,CAIR
238,Kota Probolinggo,Kabupaten Gresik,15,837500,GAS
239,Kota Probolinggo,Kabupaten Gresik,25,1187500,PADAT
240,Kota Probolinggo,Kabupaten Gresik,30,1362500,CAIR
241,Kota Probolinggo,Kabupaten Bangkalan,15,890000,GAS
242,Kota Probolinggo,Kabupaten Bangkalan,25,1240000,PADAT
243,Kota Probolinggo,Kabupaten Bangkalan,30,1415000,CAIR
244,Kota Probolinggo,Kabupaten Sampang,15,1015000,GAS
245,Kota Probolinggo,Kabupaten Sampang,25,1365000,PADAT
246,Kota Probolinggo,Kabupaten Sampang,30,1540000,CAIR
247,Kota Probolinggo,Kabupaten Pamekasan,15,1092500,GAS
248,Kota Probolinggo,Kabupaten Pamekasan,25,1442500,PADAT
249,Kota Probolinggo,Kabupaten Pamekasan,30,1617500,CAIR
250,Kota Probolinggo,Kabupaten Sumenep,15,1225000,GAS
251,Kota Probolinggo,Kabupaten Sumenep,25,1575000,PADAT
252,Kota Probolinggo,Kabupaten Sumenep,30,1750000,CAIR
253,Kota Probolinggo,Kota Surabaya,15,797500,GAS
254,Kota Probolinggo,Kota Surabaya,25,1147500,PADAT
255,Kota Probolinggo,Kota Surabaya,30,1322500,CAIR
256,Kota Probolinggo,Kota Blitar,15,1010000,GAS
257,Kota Probolinggo,Kota Blitar,25,1360000,PADAT
258,Kota Probolinggo,Kota Blitar,30,1535000,CAIR
259,Kota Probolinggo,Kota Malang,15,820000,GAS
260,Kota Probolinggo,Kota Malang,25,1170000,PADAT
261,Kota Probolinggo,Kota Malang,30,1345000,CAIR
262,Kota Pasuruan,Kabupaten Pacitan,15,1310000,GAS
263,Kota Pasuruan,Kabupaten Pacitan,25,1660000,PADAT
264,Kota Pasuruan,Kabupaten Pacitan,30,1835000,CAIR
265,Kota Pasuruan,Kabupaten Ponorogo,15,1120000,GAS
266,Kota Pasuruan,Kabupaten Ponorogo,25,1470000,PADAT
267,Kota Pasuruan,Kabupaten Ponorogo,30,1645000,CAIR
268,Kota Pasuruan,Kabupaten Trenggalek,15,1080000,GAS
269,Kota Pasuruan,Kabupaten Trenggalek,25,1430000,PADAT
270,Kota Pasuruan,Kabupaten Trenggalek,30,1605000,CAIR
271,Kota Pasuruan,Kabupaten Tulungagung,15,1007500,GAS
272,Kota Pasuruan,Kabupaten Tulungagung,25,1357500,PADAT
273,Kota Pasuruan,Kabupaten Tulungagung,30,1532500,CAIR
274,Kota Pasuruan,Kabupaten Kediri,15,932500,GAS
275,Kota Pasuruan,Kabupaten Kediri,25,1282500,PADAT
276,Kota Pasuruan,Kabupaten Kediri,30,1457500,CAIR
277,Kota Pasuruan,Kabupaten Lumajang,15,745000,GAS
278,Kota Pasuruan,Kabupaten Lumajang,25,1095000,PADAT
279,Kota Pasuruan,Kabupaten Lumajang,30,1270000,CAIR
280,Kota Pasuruan,Kabupaten Jember,15,867500,GAS
281,Kota Pasuruan,Kabupaten Jember,25,1217500,PADAT
282,Kota Pasuruan,Kabupaten Jember,30,1392500,CAIR
283,Kota Pasuruan,Kabupaten Banyuwangi,15,1140000,GAS
284,Kota Pasuruan,Kabupaten Banyuwangi,25,1490000,PADAT
285,Kota Pasuruan,Kabupaten Banyuwangi,30,1665000,CAIR
286,Kota Pasuruan,Kabupaten Bondowoso,15,895000,GAS
287,Kota Pasuruan,Kabupaten Bondowoso,25,1245000,PADAT
288,Kota Pasuruan,Kabupaten Bondowoso,30,1420000,CAIR
289,Kota Pasuruan,Kabupaten Situbondo,15,905000,GAS
290,Kota Pasuruan,Kabupaten Situbondo,25,1255000,PADAT
291,Kota Pasuruan,Kabupaten Situbondo,30,1430000,CAIR
292,Kota Pasuruan,Kota Probolinggo,15,647500,GAS
293,Kota Pasuruan,Kota Probolinggo,25,997500,PADAT
294,Kota Pasuruan,Kota Probolinggo,30,1172500,CAIR
295,Kota Pasuruan,Kabupaten Sidoarjo,15,647500,GAS
296,Kota Pasuruan,Kabupaten Sidoarjo,25,997500,PADAT
297,Kota Pasuruan,Kabupaten Sidoarjo,30,1172500,CAIR
298,Kota Pasuruan,Kota Mojokerto,15,765000,GAS
299,Kota Pasuruan,Kota Mojokerto,25,1115000,PADAT
300,Kota Pasuruan,Kota Mojokerto,30,1290000,CAIR
301,Kota Pasuruan,Kabupaten Jombang,15,835000,GAS
302,Kota Pasuruan,Kabupaten Jombang,25,1185000,PADAT
303,Kota Pasuruan,Kabupaten Jombang,30,1360000,CAIR
304,Kota Pasuruan,Kabupaten Nganjuk,15,922500,GAS
305,Kota Pasuruan,Kabupaten Nganjuk,25,1272500,PADAT
306,Kota Pasuruan,Kabupaten Nganjuk,30,1447500,CAIR
307,Kota Pasuruan,Kota Madiun,15,1045000,GAS
308,Kota Pasuruan,Kota Madiun,25,1395000,PADAT
309,Kota Pasuruan,Kota Madiun,30,1570000,CAIR
310,Kota Pasuruan,Kabupaten Magetan,15,1105000,GAS
311,Kota Pasuruan,Kabupaten Magetan,25,1455000,PADAT
312,Kota Pasuruan,Kabupaten Magetan,30,1630000,CAIR
313,Kota Pasuruan,Kabupaten Ngawi,15,1095000,GAS
314,Kota Pasuruan,Kabupaten Ngawi,25,1445000,PADAT
315,Kota Pasuruan,Kabupaten Ngawi,30,1620000,CAIR
316,Kota Pasuruan,Kabupaten Bojonegoro,15,1067500,GAS
317,Kota Pasuruan,Kabupaten Bojonegoro,25,1417500,PADAT
318,Kota Pasuruan,Kabupaten Bojonegoro,30,1592500,CAIR
319,Kota Pasuruan,Kabupaten Tuban,15,932500,GAS
320,Kota Pasuruan,Kabupaten Tuban,25,1282500,PADAT
321,Kota Pasuruan,Kabupaten Tuban,30,1457500,CAIR
322,Kota Pasuruan,Kabupaten Lamongan,15,797500,GAS
323,Kota Pasuruan,Kabupaten Lamongan,25,1147500,PADAT
324,Kota Pasuruan,Kabupaten Lamongan,30,1322500,CAIR
325,Kota Pasuruan,Kabupaten Gresik,15,737500,GAS
326,Kota Pasuruan,Kabupaten Gresik,25,1087500,PADAT
327,Kota Pasuruan,Kabupaten Gresik,30,1262500,CAIR
328,Kota Pasuruan,Kabupaten Bangkalan,15,790000,GAS
329,Kota Pasuruan,Kabupaten Bangkalan,25,1140000,PADAT
330,Kota Pasuruan,Kabupaten Bangkalan,30,1315000,CAIR
331,Kota Pasuruan,Kabupaten Sampang,15,915000,GAS
332,Kota Pasuruan,Kabupaten Sampang,25,1265000,PADAT
333,Kota Pasuruan,Kabupaten Sampang,30,1440000,CAIR
334,Kota Pasuruan,Kabupaten Pamekasan,15,990000,GAS
335,Kota Pasuruan,Kabupaten Pamekasan,25,1340000,PADAT
336,Kota Pasuruan,Kabupaten Pamekasan,30,1515000,CAIR
337,Kota Pasuruan,Kabupaten Sumenep,15,1122500,GAS
338,Kota Pasuruan,Kabupaten Sumenep,25,1472500,PADAT
339,Kota Pasuruan,Kabupaten Sumenep,30,1647500,CAIR
340,Kota Pasuruan,Kota Surabaya,15,697500,GAS
341,Kota Pasuruan,Kota Surabaya,25,1047500,PADAT
342,Kota Pasuruan,Kota Surabaya,30,1222500,CAIR
343,Kota Pasuruan,Kota Blitar,15,910000,GAS
344,Kota Pasuruan,Kota Blitar,25,1260000,PADAT
345,Kota Pasuruan,Kota Blitar,30,1435000,CAIR
346,Kota Pasuruan,Kota Malang,15,720000,GAS
347,Kota Pasuruan,Kota Malang,25,1070000,PADAT
348,Kota Pasuruan,Kota Malang,30,1245000,CAIR
349,Kabupaten Sidoarjo,Kabupaten Pacitan,15,1207500,GAS
350,Kabupaten Sidoarjo,Kabupaten Pacitan,25,1557500,PADAT
351,Kabupaten Sidoarjo,Kabupaten Pacitan,30,1732500,CAIR
352,Kabupaten Sidoarjo,Kabupaten Ponorogo,15,1017500,GAS
353,Kabupaten Sidoarjo,Kabupaten Ponorogo,25,1367500,PADAT
354,Kabupaten Sidoarjo,Kabupaten Ponorogo,30,1542500,CAIR
355,Kabupaten Sidoarjo,Kabupaten Trenggalek,15,977500,GAS
356,Kabupaten Sidoarjo,Kabupaten Trenggalek,25,1327500,PADAT
357,Kabupaten Sidoarjo,Kabupaten Trenggalek,30,1502500,CAIR
358,Kabupaten Sidoarjo,Kabupaten Tulungagung,15,905000,GAS
359,Kabupaten Sidoarjo,Kabupaten Tulungagung,25,1255000,PADAT
360,Kabupaten Sidoarjo,Kabupaten Tulungagung,30,1430000,CAIR
361,Kabupaten Sidoarjo,Kabupaten Kediri,15,830000,GAS
362,Kabupaten Sidoarjo,Kabupaten Kediri,25,1180000,PADAT
363,Kabupaten Sidoarjo,Kabupaten Kediri,30,1355000,CAIR
364,Kabupaten Sidoarjo,Kabupaten Lumajang,15,842500,GAS
365,Kabupaten Sidoarjo,Kabupaten Lumajang,25,1192500,PADAT
366,Kabupaten Sidoarjo,Kabupaten Lumajang,30,1367500,CAIR
367,Kabupaten Sidoarjo,Kabupaten Jember,15,967500,GAS
368,Kabupaten Sidoarjo,Kabupaten Jember,25,1317500,PADAT
369,Kabupaten Sidoarjo,Kabupaten Jember,30,1492500,CAIR
370,Kabupaten Sidoarjo,Kabupaten Banyuwangi,15,1237500,GAS
371,Kabupaten Sidoarjo,Kabupaten Banyuwangi,25,1587500,PADAT
372,Kabupaten Sidoarjo,Kabupaten Banyuwangi,30,1762500,CAIR
373,Kabupaten Sidoarjo,Kabupaten Bondowoso,15,992500,GAS
374,Kabupaten Sidoarjo,Kabupaten Bondowoso,25,1342500,PADAT
375,Kabupaten Sidoarjo,Kabupaten Bondowoso,30,1517500,CAIR
376,Kabupaten Sidoarjo,Kabupaten Situbondo,15,1002500,GAS
377,Kabupaten Sidoarjo,Kabupaten Situbondo,25,1352500,PADAT
378,Kabupaten Sidoarjo,Kabupaten Situbondo,30,1527500,CAIR
379,Kabupaten Sidoarjo,Kota Probolinggo,15,730000,GAS
380,Kabupaten Sidoarjo,Kota Probolinggo,25,1080000,PADAT
381,Kabupaten Sidoarjo,Kota Probolinggo,30,1255000,CAIR
382,Kabupaten Sidoarjo,Kota Pasuruan,15,647500,GAS
383,Kabupaten Sidoarjo,Kota Pasuruan,25,997500,PADAT
384,Kabupaten Sidoarjo,Kota Pasuruan,30,1172500,CAIR
385,Kabupaten Sidoarjo,Kota Mojokerto,15,657500,GAS
386,Kabupaten Sidoarjo,Kota Mojokerto,25,1007500,PADAT
387,Kabupaten Sidoarjo,Kota Mojokerto,30,1182500,CAIR
388,Kabupaten Sidoarjo,Kabupaten Jombang,15,732500,GAS
389,Kabupaten Sidoarjo,Kabupaten Jombang,25,1082500,PADAT
390,Kabupaten Sidoarjo,Kabupaten Jombang,30,1257500,CAIR
391,Kabupaten Sidoarjo,Kabupaten Nganjuk,15,820000,GAS
